,Expression WT,Expression dapF_parent,Expression dapF_sup_1-1,Expression dapF_sup_3-1,Expression WT 2,Expression dgk_parent,Expression dgk_sup_1-1,Expression dgk_sup_2-1,Expression dgk_sup_3-1,Expression WT 3,Expression entC_parent,Expression entC_sup_1-1,Expression entC_sup_2-1,Expression entC_sup_3-1,Expression WT 4,Expression ppk,Expression ppk_sup_1-1,Expression ppk_sup_1-2,Expression WT 5,Expression zwf_parent,Expression zwf_sup_1-1,Expression zwf_sup_1-2
b1040,0.092926464,-0.100758147,-0.085190937,-0.229016193,0.092926464,-1.07339385,-1.041390936,-0.828547627,-0.37611449,0.24586681,0.009455028,-0.083015364,-0.327508915,-0.802020575,-0.524646201,-0.290586457,-0.986667637,-0.514010159,0.092926464,-0.025422223,-0.867467221,-0.197723633
b1041,-0.123483404,-0.046470752,0.176141626,-0.264106773,-0.123483404,-0.741907661,-1.040040212,-0.20540055,0.053277369,0.426546118,-0.508718863,-0.322071915,0.303437242,-0.114918757,-0.056095908,-0.493903025,-0.461302195,0.332248594,-0.123483404,0.011241556,0.226993376,0.18192924
b1042,-0.078371387,0.174416866,0.500763584,0.072656481,-0.078371387,-0.384038526,-0.860032681,-0.314152573,0.061409502,0.331994591,-0.524596763,-0.49228363,0.418990993,0.879230725,-0.096880431,-0.370825561,-0.335895615,0.318712843,-0.078371387,-0.063033781,0.211000568,0.128787525
b1043,-0.067777439,0.011486954,0.570084565,0.2591139,-0.067777439,3.472114757,2.505795476,2.032910623,1.477713345,0.201742286,2.01497377,2.584000432,1.035942857,0.147782305,0.001590031,-0.45192637,-0.417894167,0.308848501,-0.067777439,0.070773578,0.202054749,-0.225993738
b1044,-0.205515521,0.342779535,0.375963893,0.179307647,-0.205515521,2.93873934,1.911302585,1.521554434,1.165299827,0.306676591,1.543936339,1.806540482,0.473504755,0.980911916,0.309869972,-0.078644097,-0.31617753,0.469010354,-0.205515521,0.086394617,-0.121220866,-0.147727824
b1045,0.02403011,-0.065282802,-0.097499891,-0.037570867,0.02403011,-0.243439592,-0.506343822,-0.418838633,-0.055256077,0.408958119,-0.403506719,0.237832807,0.4866772,0.117798244,-0.481048449,-0.55021153,-0.512346822,-0.469749506,0.02403011,-0.027843967,-0.474015338,-0.842201117
b1046,-0.070264416,-0.150381394,-0.352056719,-0.14222666,-0.070264416,-0.304154767,-0.714781784,-0.588987145,-0.247426231,0.329740219,-0.081013282,0.110282865,0.092518761,0.269166227,-0.118946971,-0.245204271,-0.487019927,-0.201938872,-0.070264416,-0.104350199,-0.650946736,-0.889133582
b1047,0.175967733,-0.282870067,-0.143579727,0.019722094,0.175967733,0.276727612,0.046655007,-0.10658534,-0.105648192,-0.614113028,-0.169883066,0.115611143,-0.870991076,-0.732807631,0.086209829,0.596417236,0.631191298,0.142747075,0.175967733,0.116652622,-0.549877688,0.007958037
b1048,0.050298256,-0.234034915,-0.578263823,0.080868251,0.050298256,0.295362763,0.08933881,0.521722175,0.147573295,-0.324602224,0.323863312,0.581941999,0.03090228,-0.791304401,0.173707457,0.296906545,0.354131762,-0.034756052,0.050298256,0.163207318,-0.306485105,-0.020878139
b1049,0.066707013,-0.351745393,-0.651329481,-0.089359563,0.066707013,0.358781422,0.080424812,0.371673452,0.103304941,-0.374808434,0.304076126,0.747205817,-0.47293396,-0.948238306,0.174687396,0.355340963,0.31980476,-0.019162736,0.066707013,0.140243242,-0.320225682,0.008173923
b1050,-0.052352166,0.397012086,-0.054604431,0.44282569,-0.052352166,0.06433759,0.452242683,0.828904117,0.116852315,-0.156989183,-0.027213928,0.021005,-0.4932158,-0.430155277,0.31404568,0.211028883,0.273759551,0.265249583,-0.052352166,-0.064664141,0.108758019,-0.016725047
b1051,-0.145411317,0.160043867,-0.027800973,-0.584358559,-0.145411317,-1.523646769,-2.20368039,-2.203458729,-0.208527299,0.503272184,-0.658221881,-0.481124975,0.260653523,0.904164757,-0.067038232,-0.763569637,-1.37006695,-0.409215433,-0.145411317,-0.256027314,-0.619959564,-0.364732337
b1053,0.066335199,0.118376324,0.214021375,0.299767827,0.066335199,-0.084335841,0.091102562,0.027301837,-0.324699003,-0.077217373,0.170064494,0.322949693,0.167253863,-0.186317058,-0.121788225,-0.131981224,-0.162926245,-0.036017393,0.066335199,0.207516513,-0.085767152,-0.263617996
b1054,-0.040958543,-0.168860306,-0.258995571,-0.13186228,-0.040958543,0.023069558,0.283017863,0.253241585,-0.221139742,-0.103757997,-0.281829648,0.083015588,0.097793117,0.282097074,0.226633628,0.226805799,0.517620658,0.26521524,-0.040958543,-0.058403116,0.166798876,-0.239704612
b1055,0.015412624,-0.353280681,-0.4694028,0.11103122,0.015412624,-0.063909537,-0.238201605,-0.456012651,-0.239235413,-0.472309935,0.067130887,0.388793658,-0.582829285,-0.59501722,0.426072063,0.448275165,0.5289883,0.085243233,0.015412624,0.316433066,-0.187290189,-0.015473557
b1056,-0.135649218,-0.896769345,-0.725622556,-0.478572651,-0.135649218,-0.026835651,-0.308163243,-0.401088363,0.027941493,0.035493656,-0.152791777,-0.013766962,-0.230234087,-0.487231247,0.371453999,0.235416323,0.200137477,-0.064145698,-0.135649218,-0.269243268,-0.259967696,-0.240433971
b1057,-0.104713781,-0.82021216,-0.632738104,-0.493856662,-0.104713781,-0.009460099,-0.254016863,-0.324280773,0.176361724,0.020066173,-0.001594534,0.246900371,-0.153233932,-1.054011967,0.294075169,0.174701751,0.24016023,-0.101087787,-0.104713781,-0.165719771,-0.159287847,-0.124005011
b1058,-0.223694995,0.097957658,0.812242274,-0.228429638,-0.223694995,-0.484548292,0.704701412,0.635822513,-0.165744424,-0.107199704,-0.117469957,-0.289430375,0.508562098,0.585546156,0.778284688,0.704436054,0.986279317,0.751406416,-0.223694995,0.269946131,0.641523598,0.23571728
b1059,0.076366886,-0.652529752,-0.92556082,-0.517889677,0.076366886,-0.184228214,-0.004672515,-0.300268765,0.058425239,-0.383066022,0.265321871,0.090560637,-0.321824518,-0.884791756,0.153965363,0.200310287,0.262649676,-0.056981425,0.076366886,-0.022962125,-0.208814361,-0.217348026
b1060,-0.108338547,0.327305382,-0.250836079,-0.671504547,-0.108338547,-1.137904264,-0.700190481,-0.939226398,-0.660482955,0.539103693,-0.936444645,-1.29163255,0.136185606,1.017975533,-0.214088051,-0.61777713,-0.52333297,0.64638008,-0.108338547,-0.443696041,-0.493822858,-1.059756029
b1061,-0.065768952,-0.174793318,0.087838961,-0.070911497,-0.065768952,-0.409576317,0.016388927,-0.173887807,-0.053542994,-0.451633412,0.30502771,-0.156013629,-0.446533718,0.112994149,0.648940268,0.589091141,0.489380933,-0.026476059,-0.065768952,0.006636959,0.246863847,0.195768941
b1062,0.439631634,-1.769976335,-1.778279465,-0.960290564,0.439631634,0.249237559,0.181958961,-0.235142865,0.411194318,-1.979225505,1.355128571,0.913645651,-1.896049033,-2.386094318,0.660330603,1.051495407,0.811309743,0.008277874,0.439631634,0.550603035,0.148137991,0.522322216
b1063,-0.042939193,0.228715049,0.250869463,0.430048576,-0.042939193,-0.245201124,0.278044653,0.282300771,0.208248014,-0.213091182,0.42880329,0.335522772,-0.057918282,-0.025743247,0.341908762,0.443065885,0.447871859,0.212387896,-0.042939193,0.041854946,0.231819974,-0.135710846
b1064,0.038576093,0.113647015,0.05867428,0.26810337,0.038576093,-0.281380831,-0.336176441,-0.071507833,0.246849799,0.038450777,0.082729236,0.296448713,0.135534069,-1.07057454,-0.154179056,0.06757429,-0.186495391,-0.16447545,0.038576093,0.26054412,-0.175034449,-0.700453597
b1065,-0.084178663,0.00602457,0.219129598,0.128221468,-0.084178663,0.40719974,0.573839087,0.961409794,0.275584206,-0.198614781,-0.285913621,0.027802143,0.33039704,0.424199845,0.451150771,0.013709743,0.532244602,0.501130771,-0.084178663,0.042360559,0.17283357,0.209536839
b1066,-0.126614333,-0.102288306,-0.281963597,-0.243952657,-0.126614333,-0.27062893,0.010146423,0.071082812,-0.137434446,-0.014431315,-0.104756617,-0.152607039,0.128817556,0.543581864,0.394274313,-0.092083416,0.176368005,0.326181155,-0.126614333,-0.16939049,0.126849127,-0.177479045
b1067,-0.0723965,-0.18099231,-0.275429547,-0.114321381,-0.0723965,0.006192874,0.0578008,0.074785105,0.059173866,0.064633175,-0.469514999,-0.11572863,0.231791025,0.750862506,0.152556325,-0.188254456,0.198895381,0.270177746,-0.0723965,-0.191838513,0.088855025,-0.186344533
b1068,-0.031630305,-0.194461963,-0.404900338,-0.092615858,-0.031630305,0.012314029,0.210023635,0.200344748,0.133748579,-0.000837063,-0.059890197,0.217076549,0.163377098,0.361789146,0.095727978,-0.156350482,0.197935447,0.291995488,-0.031630305,-0.015327832,-0.014706905,-0.165971986
b1069,0.159629089,-0.187872559,-0.289526778,0.298272414,0.159629089,0.03690416,0.358244257,0.107843977,-0.01348046,-0.599297386,-0.411666686,0.331231944,-0.235626979,-0.719539752,0.120410118,0.308636516,0.570798577,0.369814636,0.159629089,0.362188967,0.30597313,0.004195359
b1070,-0.040800845,-0.280889571,-0.132583365,-0.045796054,-0.040800845,4.260952088,2.985893568,3.174283756,1.820487722,-0.087526924,2.189051999,3.158086197,1.808644151,0.389675119,0.209929459,0.163067487,0.20073509,0.043516594,-0.040800845,-0.193442494,0.165095941,-0.324410307
b1071,-0.0180911,-0.245678991,-0.193791799,-0.173342434,-0.0180911,4.225137493,2.862592928,3.079193653,1.77315409,-0.047811093,2.413344243,3.292882714,1.898055102,0.163578838,0.102084395,0.144066582,0.120330033,-0.051512654,-0.0180911,-0.246212677,0.005407334,-0.385980331
b1072,0.093217331,-0.059173573,-0.042900596,0.198141869,0.093217331,4.56511731,4.136981039,3.915776044,2.794214798,-0.177435232,3.151175905,3.719213374,2.455277907,0.743756928,-0.102216762,0.32758195,0.253092927,0.077537567,0.093217331,0.108559629,0.191883887,-0.115724907
b1073,0.544148813,-1.144893011,-1.047787639,-0.22613187,0.544148813,6.324465879,5.660957291,5.528430554,4.386373029,-1.482677841,4.953291678,5.646164042,3.875302004,1.575260636,-0.149768597,1.10326114,0.646288664,-0.110487674,0.544148813,0.085941376,0.006851806,-0.239723329
b1074,0.394411798,-0.658617688,-0.851441143,-0.150963586,0.394411798,6.09975856,5.40250254,5.266863235,4.162814854,-0.997958591,4.700385921,5.470968304,3.742909383,1.232442814,-0.185276803,0.913459137,0.558516839,-0.102220095,0.394411798,-0.033324865,-0.021343971,-0.272092714
b1075,0.337168246,-0.598881474,-0.509416184,-0.227923252,0.337168246,5.852962375,5.107325025,5.036732854,3.931230771,-0.738216572,4.604662005,5.210766594,3.413597517,1.122328709,-0.273288165,0.819930456,0.431617304,-0.182435732,0.337168246,-0.014285759,-0.086958968,-0.353532716
b1076,0.214266625,-0.473642443,-0.361956973,-0.22727639,0.214266625,5.551519613,4.61397146,4.568698187,3.578359767,-0.471426863,4.214635311,4.972774776,2.853581373,0.827834172,-0.171373012,0.631808948,0.150925545,-0.190773928,0.214266625,-0.082987124,-0.142329609,-0.23710546
b1077,0.212821002,0.147909501,0.13212282,0.21069835,0.212821002,5.286996864,4.418061333,4.408783102,3.226379583,-0.319231503,3.815449005,4.797196124,2.326508709,0.487739466,-0.319231503,0.63788162,0.287080289,0.232749159,0.212821002,0.219671975,0.186149436,0.204815258
b1078,0.127965048,-0.218385665,-0.048114173,0.02327713,0.127965048,5.120573872,4.238637455,4.26460542,3.064341793,-0.475504692,3.910993419,4.66390956,2.258115534,0.340836539,0.091609548,0.498806019,0.174106298,-0.044411418,0.127965048,0.142179372,-0.027739308,0.111220593
b1079,0.006669815,-0.061358637,-0.077935996,0.004448553,0.006669815,4.753569165,3.85518818,3.912800147,2.605049161,-0.059907064,3.427690596,4.287504841,1.831543436,0.292680591,0.039897619,0.066124027,0.084244725,0.027513156,0.006669815,0.013837567,-0.021256872,-0.001708992
b1080,0.081459517,-0.024349236,-0.050760971,0.07806639,0.081459517,4.445731418,3.569263888,3.570872278,2.190158681,-0.191049288,3.171207035,4.047899506,1.547982661,0.00152472,-0.053329262,0.329634527,0.006277945,-0.070140981,0.081459517,0.092381775,0.038504949,-0.110110701
b1081,0.060503758,-0.155469375,-0.118258631,0.056016612,0.060503758,4.473016534,3.621683718,3.592230161,2.380857009,-0.231857397,3.499689925,4.267101863,1.476620306,0.022386029,0.050346122,0.376993319,0.134311918,-0.05578433,0.060503758,0.074914492,-0.239890845,0.043524272
b1082,-0.004581939,0.194251021,0.246267868,0.212567707,-0.004581939,4.869570684,3.419918112,3.349601528,1.953986174,0.106976513,3.021189121,3.887269693,2.656313971,0.383062657,-0.093230697,-0.059465348,-0.200304729,0.025093611,-0.004581939,0.122782423,-0.044763123,-0.016585923
b1083,-0.068423196,0.096894084,0.222888185,-0.032038106,-0.068423196,4.086873244,2.600660573,2.765716881,1.575802454,0.292138178,2.559295446,3.290741542,2.200745979,0.400087509,-0.08686859,-0.359720567,-0.324947144,0.16701237,-0.068423196,0.065731691,0.060617969,-0.270179946
b1084,0.0703914,-0.343829408,-0.638034285,-0.128821641,0.0703914,0.146715268,0.161429084,0.011492322,0.237099308,-0.244345585,0.164009914,0.385061399,-0.319401237,-0.767504838,0.033171385,0.130008291,0.108300034,0.061869089,0.0703914,-0.078194942,-0.268893233,-0.249566834
b1085,-0.01117843,0.379217874,-0.073233508,0.398956878,-0.01117843,0.173181093,0.11623577,0.247647414,0.307395094,-0.164987887,0.299205743,-0.155709604,-0.326551712,-0.287285036,0.198523178,0.375003179,0.153099671,0.292628894,-0.01117843,-0.071792443,0.06270875,0.041055325
b1086,0.12133288,-0.326328355,-0.563519276,0.117551605,0.12133288,0.35029105,0.055900624,0.005385246,0.006211539,-0.541210231,0.043110753,0.376708269,-0.495962598,-0.8066162,0.177211591,0.595922074,0.51731851,0.156532278,0.12133288,0.271099002,-0.267077529,0.10703854
b1087,-0.071924747,0.530611344,0.514836882,0.323256558,-0.071924747,-0.378891807,-0.099091186,-0.204794015,0.236820429,-0.039152848,0.247613615,0.183013268,-0.077707177,-0.209568013,0.254927089,0.277041833,0.134209715,0.004306527,-0.071924747,-0.012386953,-0.115495762,0.333290505
b1088,0.134329163,-0.65409187,-0.342326646,0.046200735,0.134329163,0.393382244,0.461377318,0.253970049,0.219843952,-0.581439446,-0.103387844,0.56396107,-0.163656574,-1.063469116,0.178451957,0.371435407,0.503446884,0.180357117,0.134329163,0.140050371,0.313158284,0.253339749
b1089,0.029314958,-0.828354285,-0.496480526,-0.330854547,0.029314958,0.350888137,0.25110621,0.097617237,0.351095141,-0.499035769,0.619102141,0.229892584,-0.571567368,-0.589038797,0.411090894,0.480551327,0.610246357,0.029317561,0.029314958,-0.116009052,0.121294443,0.026276655
b1090,0.126044869,-0.31879077,-0.251576042,0.064763764,0.126044869,0.120815897,0.116848187,-0.117311527,0.096717908,-0.438033799,0.060635404,0.535656071,-0.065293273,0.327050996,0.059899191,0.251865109,0.389558875,-0.087687796,0.126044869,0.275246838,0.087815742,0.033083555
b1091,0.080649396,-0.293402695,-0.118823492,0.093813159,0.080649396,0.05916567,0.023205854,-0.116324938,0.03250182,-0.320505894,0.090918696,0.47682809,0.153836064,0.090153175,0.078557705,0.155003503,0.332831371,-0.076031958,0.080649396,0.245185788,0.033734464,-0.028548497
b1092,-0.01953931,-0.485290992,-0.404320917,-0.298810905,-0.01953931,0.006865489,-0.057545344,-0.132444326,0.154703718,-0.21177137,-0.015325482,0.373242022,-0.106984834,-0.095189246,0.270389301,0.230344485,0.290181713,0.133283272,-0.01953931,0.054289916,0.086883084,-0.042414992
b1093,0.055820292,-0.276784268,-0.093986232,0.068226806,0.055820292,0.137552189,0.306776138,0.158398219,0.371750019,-0.267403271,0.004670187,0.481153524,0.052514938,-0.542746805,0.099942396,0.188220928,0.38568538,0.241431285,0.055820292,0.160075149,0.224250604,0.145979539
b1094,-0.030894801,0.343268772,0.236976785,0.504766008,-0.030894801,-0.011368821,0.328620021,0.327561721,0.30871336,-0.393760277,0.179590005,0.358104788,-0.107617061,0.461152146,0.48644468,0.457063295,0.590081526,0.411540633,-0.030894801,0.1061901,0.311322209,0.21077245
b1095,0.046216475,-0.474806951,0.316882861,0.052483442,0.046216475,0.232674863,0.765739974,0.832802666,0.561521416,-0.8195386,-0.04198544,0.64128706,0.004546209,0.305839569,0.680889176,0.57484695,0.811881479,0.499734136,0.046216475,0.085275244,0.447718994,0.6558805
b1096,-0.069436352,-0.004663768,0.003029997,0.235504954,-0.069436352,-0.242191529,0.529532581,0.935330401,0.299063737,-0.102414463,-0.094861028,-0.048011632,0.032691911,0.209623323,0.31072352,0.167200623,0.400874741,0.328354505,-0.069436352,0.004412629,0.341763733,-0.08713369
b1097,0.007837553,0.119055722,0.187700343,0.375727468,0.007837553,0.062986875,0.539424054,0.655748779,0.205832592,-0.240813343,-0.180140999,0.36405743,0.166964498,0.035182434,0.217300683,0.177971386,0.468845227,0.315213013,0.007837553,0.205971864,0.284131723,0.039100162
b1098,0.070191322,0.079158245,0.103598812,0.383944863,0.070191322,0.23259254,0.512131415,0.555386192,0.222030898,-0.281982804,-0.307128515,0.434630643,-0.010936373,-0.303616918,0.071408838,0.089268206,0.360913093,0.206956162,0.070191322,0.218268277,0.126549949,-0.114536701
b1099,0.038228094,-0.1062713,-0.088221217,0.10856227,0.038228094,0.104705014,0.404178809,0.535624961,0.271713419,-0.344311244,-0.002296792,0.601215103,-0.181452576,-0.411162697,0.229626962,0.242829843,0.377692908,0.216432451,0.038228094,0.172289306,-0.025668375,0.003531419
b1100,-0.063043095,0.400233008,0.228413638,0.102936825,-0.063043095,-1.014487765,-0.710519697,-0.926901002,-0.409935705,0.278597926,0.051502699,0.07770162,0.659709408,0.172777955,-0.08946864,-0.1300168,-0.509934828,0.082100331,-0.063043095,0.361480825,-0.921063643,-0.574736676
b1101,0.204677758,-1.127676378,-0.994700061,-0.481345038,0.204677758,0.715272031,0.49001554,0.525360851,0.168685418,-0.747770689,-0.228193603,-0.144419623,-0.42135157,-1.066669061,0.133737415,0.269962978,0.548754012,0.311310242,0.204677758,-0.151439218,0.044561646,0.344490259
b1102,0.117265893,-0.778926408,-0.965453577,-0.138063266,0.117265893,0.520941587,0.399607376,0.004214668,0.069215474,-0.630760349,0.393044905,1.430544541,-0.621394091,-0.932589218,0.278962671,0.668183933,0.67602648,0.079311958,0.117265893,0.00886669,0.183189894,0.148786793
b1103,-0.031337075,-0.081725028,-0.070679648,0.00318882,-0.031337075,-0.38794075,-0.227994529,-0.212879376,0.084000168,0.137485858,0.075390529,0.266158023,0.32460319,0.22054615,-0.043474634,-0.180656187,-0.197275555,0.040200475,-0.031337075,0.022231098,-0.09712591,-0.414424369
b1104,0.006846174,-0.328237865,-0.277281621,-0.13987855,0.006846174,-0.3399162,-0.150592987,-0.161901752,0.215091812,0.108624729,-0.052319934,0.547305707,0.452652078,-0.116787975,-0.129163252,-0.277605604,-0.154272953,-0.101476964,0.006846174,0.056550145,-0.043686232,-0.397241359
b1105,-0.041857929,-0.274183571,-0.299145441,-0.206380115,-0.041857929,-0.367488466,-0.206831545,-0.20522413,0.255857837,0.120629948,0.3749509,0.420590443,0.259072655,0.564841668,0.004943838,-0.028163171,-0.136458202,0.020478774,-0.041857929,-0.042298419,-0.247484625,-0.459146476
b1106,0.027515742,-0.124871562,-0.21078303,0.06807073,0.027515742,0.13749327,0.240956311,0.037190274,0.295456573,-0.269342215,0.344811182,0.514079191,-0.186643802,-0.183360554,0.186794989,0.196947974,0.277097488,0.02411758,0.027515742,0.042857706,-0.033497937,-0.087817111
b1107,0.098768479,-0.089410666,-0.103250548,0.107369275,0.098768479,-0.070548686,0.438565309,0.225307077,0.200418811,-0.004999118,-0.253120507,0.062643767,0.303977534,-0.549134709,-0.29130632,-0.280913028,0.034533056,-0.13866679,0.098768479,0.218981846,0.232677529,0.079775786
b1108,-0.014034159,-0.092606948,-0.062785774,-0.054951109,-0.014034159,-0.148418245,0.338515175,0.21271529,0.052514529,-0.00316502,-0.21897591,-0.337232451,0.166685245,0.36215729,0.045267495,-0.201438029,-0.041566436,0.06418548,-0.014034159,0.010206449,0.130821353,-0.061190206
b1109,0.035551773,-0.319570629,-0.2816125,0.077592182,0.035551773,0.281940136,0.084613923,0.281299521,0.54879744,-0.368346249,-0.819136658,0.147638418,0.236151666,-0.551762437,0.261690931,0.219276134,0.469056331,-0.030377295,0.035551773,-0.187329536,-0.263633571,0.474247167
b1110,-0.145208365,0.388595122,0.840529334,0.301438588,-0.145208365,-0.109922198,0.23175064,0.269788538,0.67713608,0.152857375,-0.738004113,-0.17669611,0.283617787,0.315520274,0.282767719,-0.096298502,0.149422792,0.396346557,-0.145208365,-0.060879033,-0.27983389,0.415382266
b1111,-0.05731662,0.441748368,0.469970877,0.600835983,-0.05731662,0.973504457,0.567596911,0.596271873,0.210526661,-0.043143992,0.065978477,0.918216752,0.202043575,0.169262212,0.21509385,-0.047355086,0.294498555,0.262770257,-0.05731662,0.083992269,0.213272994,-0.125296085
b1112,-0.14873795,1.18752352,1.530173289,0.834612544,-0.14873795,-1.922242667,-1.379923835,-1.096695923,0.263840552,0.24760351,-1.050229151,-0.388121329,-0.02469721,1.339421122,0.19861034,-1.034806717,-0.539184457,-0.215184139,-0.14873795,0.058431833,-0.322183849,-0.278544442
b1113,0.036235962,-0.402345807,-0.390376987,0.031275557,0.036235962,-0.106421366,0.184922758,-0.059434349,0.231153371,-0.29655026,0.187557393,0.438934412,-0.162200348,-0.062614538,0.187842373,0.224197185,0.242040456,0.040227759,0.036235962,0.149724003,0.208433005,-0.090527114
b1114,0.081728407,-0.24572208,-0.771511187,-0.034019699,0.081728407,0.240098082,0.169003099,-0.182236198,-0.102550979,-0.265652758,0.211711885,0.334614258,-0.63411923,-0.634308921,0.020467538,0.168739684,0.291459684,-0.084018036,0.081728407,0.070955076,-0.113939117,-0.305033281
b1115,-0.189731233,0.222631745,0.634852149,0.496141199,-0.189731233,0.156442074,0.399518395,0.355324682,0.127783562,0.0189714,0.154872964,-0.066593414,0.061662766,0.245862716,0.550222298,0.399346051,0.423791478,0.531442658,-0.189731233,0.104273022,0.456275477,0.306401944
b1116,0.033909212,-0.143727615,-0.530857211,0.217266938,0.033909212,0.300839126,0.433047574,0.281609144,0.051493891,-0.430315212,0.415717386,0.719595608,-0.374277019,-0.807120306,0.328587576,0.367163195,0.589913834,0.178144294,0.033909212,0.129350873,0.050566008,0.055886239
b1117,0.027889678,-0.47756472,-0.988752968,-0.288905278,0.027889678,0.461591709,0.182979213,0.003500729,-0.087056421,-0.33376317,0.111821162,0.612135491,-0.645630795,-0.204178373,0.250094137,0.328753577,0.493891902,0.199791167,0.027889678,0.016657668,-0.422384899,-0.166056983
b1118,0.017454287,-0.140842956,-0.198283794,-0.004203925,0.017454287,0.04426948,0.021620335,-0.009860733,-0.144327215,-0.073550486,0.041400631,0.404969576,-0.154496382,-0.187382563,0.021187624,0.094044419,0.215404048,0.012188659,0.017454287,0.081888613,0.033585779,-0.162669089
b1119,-0.025638265,-0.232711079,-0.274177445,-0.160441081,-0.025638265,0.026496466,-0.079783415,-0.044750343,-0.18515034,-0.015612521,-0.115691224,0.345614626,-0.094102714,0.095224848,0.092527316,0.007718919,0.110488045,0.122109367,-0.025638265,-0.024882841,-0.120622204,-0.28406652
b1120,0.005643886,-0.238329977,-0.140717202,-0.11579235,0.005643886,0.033009344,-0.047321181,-0.021185667,-0.218796955,-0.122371229,-0.206464026,0.408688617,-0.061976731,0.014892242,0.10543957,0.105609577,0.170970208,0.156026973,0.005643886,-0.006346389,-0.057701244,-0.37294962
b1121,-0.064025208,-0.127259378,-0.142621846,-0.066094672,-0.064025208,-0.01485547,-0.578647675,-0.578647675,-0.578647675,-0.125913298,-0.016139418,0.761313756,-0.578647675,-0.112045475,0.317988924,0.35232991,0.375897162,-0.044591071,-0.064025208,-0.057345155,-0.578647675,-0.071829771
b1122,0.030753942,-0.482756902,-0.10962839,-0.400508538,0.030753942,0.1144776,-0.324440384,-0.364266668,-0.36361866,-0.480927854,-0.334564057,0.597623963,-1.16340426,-0.46213531,0.388666028,0.434127884,0.465040955,0.064192499,0.030753942,-0.388881716,-0.432475827,0.017191645
b1123,0.002253608,-0.847737601,-0.983484606,-0.361716286,0.002253608,0.029770823,-0.469122304,-0.62548453,-0.28743385,-0.127908177,0.010174573,0.215646785,-0.492853047,-0.879737252,0.121147353,0.274295535,0.2540846,-0.034448084,0.002253608,-0.001696258,0.023563576,-0.375872395
b1124,-0.053429545,-0.899807525,-1.088661082,-0.504556447,-0.053429545,-0.105498051,-0.465813183,-0.595104833,-0.237929523,-0.153180106,0.288271257,0.217103351,-0.617243833,-1.405138671,0.31346874,0.46056628,0.3490983,0.005917489,-0.053429545,0.00988538,0.063984188,-0.343173061
b1125,0.213027512,-0.440846489,-0.816681751,-0.100836281,0.213027512,0.277637816,0.08429931,-0.493269791,-0.240186201,-0.778954312,0.123732429,0.693191631,-0.935772989,-0.856264539,0.139871776,0.337078952,0.499515212,-0.182251047,0.213027512,0.353404474,-0.042352624,-0.176000895
b1126,0.199481198,-0.416594613,-0.731442585,0.098268234,0.199481198,0.294444203,0.187200903,-0.373709079,-0.353533331,-0.75260586,-0.083601958,0.615264593,-0.811899487,-0.888527002,0.154162268,0.339608166,0.527584107,-0.008012764,0.199481198,0.401179831,-0.067227803,-0.244691381
b1127,0.032359809,0.095892209,-0.114031185,-0.07962747,0.032359809,-0.179636743,0.204367329,0.004487663,0.023961722,0.249134829,-0.71267677,-0.06790526,0.26058873,0.508617057,-0.346214256,-0.34526075,-0.188303718,-0.086122292,0.032359809,-0.067874026,-0.197024692,-0.245699751
b1128,-0.043657666,-0.093103289,-0.090563813,0.048822643,-0.043657666,-0.09487658,0.069780359,0.075090812,0.068151034,0.018558593,-0.149689143,0.096617306,-0.007578907,0.269938342,0.112414404,-0.002689549,0.17488406,0.061233276,-0.043657666,-0.002128543,-0.058438762,0.123543263
b1129,-0.017530313,-0.112530028,-0.183846763,-0.038774699,-0.017530313,0.028216879,-0.170200485,-0.043156274,0.150296507,0.082738987,0.025362197,0.303471933,-0.007039754,-0.151817984,-0.03014805,-0.087787358,-0.071065632,-0.039086639,-0.017530313,0.091053783,-0.275926376,-0.156365126
b1130,-0.14805677,-0.152155818,-0.326239624,-0.422294624,-0.14805677,-0.630767023,-0.63092649,-0.327412119,-0.485844281,0.308477002,-0.111174649,-0.332112682,0.035630621,0.404599653,0.135693309,-0.422350072,-0.423535499,0.160848192,-0.14805677,-0.218418091,-0.315681215,-0.376030075
b1131,0.314157675,-1.335612245,-1.517450823,-0.915827651,0.314157675,0.130943585,0.121257554,-0.110041996,0.022576184,-1.637270455,0.580263599,0.795214837,-1.793094873,-1.938654203,0.69479743,0.736343486,0.824805649,0.08899625,0.314157675,0.394061453,0.481539838,0.566987744
b1132,0.357463374,-0.491479963,-0.648918571,-0.038611128,0.357463374,0.413229352,0.490022183,0.039463946,0.048236822,-1.237202155,0.27038781,0.962939832,-1.12569878,-1.900228245,0.164812033,0.484514008,0.55910118,0.06654443,0.357463374,0.505773027,0.299561476,0.503565312
b1133,0.304333113,-0.165723366,-0.40678635,0.398578079,0.304333113,0.868963331,0.519388009,0.091135112,-0.01100591,-0.997412559,-0.17948531,0.76930697,-0.631350862,-1.36106629,0.08441322,0.477054379,0.648637394,0.188845237,0.304333113,0.446297649,0.007028852,0.088482705
b1134,0.059329062,0.013552076,-0.268198474,0.363184481,0.059329062,0.251106787,0.227511454,0.11895042,0.036063393,-0.424284737,0.170576949,0.533626114,-0.3954288,-0.059992235,0.246297552,0.302015138,0.302858736,0.144818374,0.059329062,0.258573337,-0.228066371,0.154320486
