,Expression WT,Expression dapF_parent,Expression dapF_sup_1-1,Expression dapF_sup_3-1,Expression WT 2,Expression dgk_parent,Expression dgk_sup_1-1,Expression dgk_sup_2-1,Expression dgk_sup_3-1,Expression WT 3,Expression entC_parent,Expression entC_sup_1-1,Expression entC_sup_2-1,Expression entC_sup_3-1,Expression WT 4,Expression ppk,Expression ppk_sup_1-1,Expression ppk_sup_1-2,Expression WT 5,Expression zwf_parent,Expression zwf_sup_1-1,Expression zwf_sup_1-2
b0023,0.257260789,0.319090235,0.071884953,0.910393342,0.257260789,0.255495934,0.982104795,0.243631087,0.295650974,-1.435958526,0.454399839,0.628638686,-1.447559935,-1.662850912,0.664176159,1.001536226,1.037780632,0.618956558,0.257260789,0.531483769,0.716960625,0.468739999
b0024,-0.116067309,0.274969993,0.514724639,0.194494332,-0.116067309,-0.251432993,-0.009472104,0.125764651,0.062925715,0.092010781,-0.286780599,-0.250853995,0.074150156,1.151371421,0.256191147,-0.302860677,-0.299387336,0.365895882,-0.116067309,-0.124771227,-0.206327185,-0.419612871
b0025,0.047183129,0.038308632,0.019718733,0.35767015,0.047183129,0.361725289,0.580013752,0.500588852,0.213031887,-0.289463202,0.042801671,0.208857046,-0.107294283,-0.046501865,0.147913816,0.13459872,0.367797394,0.281278765,0.047183129,0.063307522,0.246679852,0.055247204
b0026,0.0834257,-0.009054627,0.011300062,0.06886116,0.0834257,0.089565921,0.182201654,0.320135615,-0.045268457,-0.116908578,-0.10722062,0.169914639,-0.230586123,-0.198217957,-0.13336852,-0.052155147,0.15247979,-0.067898961,0.0834257,0.172606718,0.181011107,0.076763701
b0027,-0.016360803,0.123626131,0.11694596,0.3068474,-0.016360803,0.302498757,0.27589365,0.361369464,0.177653168,-0.176567928,0.011468744,0.237670794,-0.069773777,-0.015129259,0.225650336,0.115359091,0.194273086,0.297932599,-0.016360803,0.138810101,0.258270508,-0.035723811
b0028,0.013399633,-0.120678443,-0.156971498,0.073235939,0.013399633,0.071264472,0.316524392,0.543496858,-0.112974137,-0.170450653,0.101019926,0.215174441,-0.004520556,-0.083778427,0.130251754,0.100039923,0.238840833,0.196762943,0.013399633,0.179289838,0.306589599,0.113974444
b0029,0.021692721,-0.117751305,-0.065502103,0.027842835,0.021692721,0.114645676,0.163356964,0.398547692,-0.186881168,-0.307260311,-0.024130434,0.177019238,-0.105077644,0.338935706,0.242182148,0.151860245,0.316939483,0.253130547,0.021692721,0.134463427,0.305084643,0.129291425
b0030,-0.014142364,-0.772211848,-0.35677638,-0.189478548,-0.014142364,0.479922141,0.925578173,1.324478811,0.481771132,-0.636504194,0.162828045,0.358964148,-0.155705783,0.023255014,0.678931287,0.493361778,0.926140035,0.609904623,-0.014142364,-0.269433396,0.364241686,0.547786792
b0031,-0.084948972,-0.762059611,-0.824354237,-0.518118431,-0.084948972,0.261933124,0.876450119,0.652834406,0.564619607,-0.592635792,0.287224041,0.017125843,-0.421223387,-0.497824722,0.847482709,-0.08837155,1.067561937,0.153068252,-0.084948972,0.359602297,0.342055672,0.866068659
b0032,0.284299511,-1.478889547,-1.609670284,-0.831752951,0.284299511,0.5070558,0.070926769,-0.515752565,0.325253849,-1.575724481,1.117116662,0.049725613,-1.508043182,-1.447400081,0.722825947,0.538339555,0.941756453,0.068002557,0.284299511,0.582395145,-0.143866349,0.5759749
