,Expression dapF_parent,Expression dapF_sup_1-1,Expression dapF_sup_3-1,Expression dgk_parent,Expression dgk_sup_1-1,Expression dgk_sup_2-1,Expression dgk_sup_3-1,Expression entC_parent,Expression entC_sup_1-1,Expression entC_sup_2-1,Expression entC_sup_3-1,Expression ppk,Expression ppk_sup_1-1,Expression ppk_sup_1-2,Expression zwf_parent,Expression zwf_sup_1-1,Expression zwf_sup_1-2
b0522,-3.906890596,-3.906890596,-1.906890596,-0.0489096,0.341036918,-0.819427754,-0.321928095,4.772589504,4.544320516,-0.584962501,0.736965594,-0.047305715,0.068171503,-1.36923381,0.900464326,-0.099535674,1.263034406
b0523,-3.375039431,-3.567684509,-1.567684509,0.132755209,0.669354688,-0.035189428,-0.330645312,4.468769483,4.627273306,0,0.652076697,0.107640723,0.284881108,-0.845966371,0.928741317,0.366427555,1.501477515
b0524,-1.093109404,-0.142019005,-0.299560282,0.426264755,1.022367813,1.129283017,0.64385619,2.087462841,2.614709844,2.044394119,0.807354922,0.025535092,0.321928095,0.123382416,-0.142019005,0.209453366,1.189824559
b0525,0.311957026,0.258104518,0.219174812,-0.258541775,0.058331125,-0.114579133,0.369324525,0.347231819,0.41685107,-0.10213045,-1.144294401,-0.035858,0.101379928,-0.085098621,0.113528946,0.434243453,0.977086474
b0526,-0.277228287,-0.301890342,-0.159871337,-0.040930264,0.315862094,-0.41840435,-0.159871337,0.519778332,0.567475074,0.297385911,-0.053111336,0.142740172,0.417920008,0.089498151,-0.010124217,0.049582029,0.274756891
b0527,0,9.869208251,0,0,9.869208251,9.869208251,0,9.869208251,0,9.869208251,0,0,0,0,0,0,9.869208251
b0528,0.415037499,0.415037499,0.222392421,0.415037499,1,1.222392421,0.736965594,0.584962501,0.584962501,0.807354922,1.321928095,0.415037499,0,0.222392421,0,-0.263034406,1.115477217
b0529,-0.154577037,-0.120629705,-0.103950964,0.118441457,0.535254581,0.592656893,0.430385464,0.679427185,0.692910414,0.032180406,-0.222392421,-0.071019463,0.055613975,-0.246746751,-0.055041364,0.304854582,0.900188766
b0530,9.869208251,9.869208251,0,0,0,0,9.869208251,0,0,0,9.869208251,0,0,0,0,0,9.869208251
b0531,0,0,0,0,0,0,0,0,0,0,9.869208251,0,0,0,0,0,0
b0532,9.869208251,9.869208251,9.869208251,0,9.869208251,9.869208251,0,0,0,0,1.584962501,0,0,0,9.869208251,9.869208251,9.869208251
b0533,0,9.869208251,0,0,0,0,0,0,0,0,9.869208251,0,0,0,0,0,0
b0534,0,9.869208251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.869208251
b0535,2,2.906890596,1.807354922,0,0.584962501,0.584962501,0,-1,0,0.584962501,2,0,-0.584962501,0.415037499,0.584962501,0,1.321928095
b0536,0.768184325,0.741466986,0.832890014,0.22881869,0.727920455,0.266786541,0.087462841,0.717600269,0.793549123,-0.032421478,-1.169925001,-0.0489096,0.289506617,0.263034406,-0.35614381,-0.272079545,0.714245518
b0537,0.711874613,0.499571009,0.445799753,-0.103093493,0.351472371,0.271302022,0.024662054,-0.327164743,-0.97924144,-0.408084739,0.120294234,-0.391190757,-0.391190757,0,-0.076621282,0.311944006,0.499571009
b0540,0.362570079,0.465663572,0.192645078,-0.304854582,0.131244533,0.192645078,-0.070389328,-0.61667136,-0.823122238,-0.436099115,0.231325546,-0.485426827,-0.485426827,-0.347923303,-0.304854582,0.362570079,0.561878888
b0541,0.652076697,0.893084796,0.652076697,0,0.192645078,0.514573173,0,-0.584962501,-0.584962501,-0.169925001,-0.169925001,-0.321928095,-0.321928095,-0.152003093,0,0.192645078,0.514573173
b0543,1.321928095,2.321928095,1.662965013,0.415037499,1.222392421,0.584962501,1,1,1.736965594,0.736965594,1.415037499,-0.222392421,0,0.280107919,0.874469118,0.736965594,0.874469118
b0544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0545,1.584962501,2.247927513,1.807354922,0,0,0,0.807354922,-1,-0.263034406,0.222392421,-0.263034406,0,-0.321928095,0.485426827,0.584962501,0.321928095,0.321928095
b0546,1.403124178,1.865814653,0.85010457,-1,-0.317190176,-0.575502171,-0.160464672,-1.584962501,-1.622437206,0.072149786,1.089637212,-0.757143476,-1.024247546,0.273018494,0.381429107,0,0.074000581
b0547,9.869208251,9.869208251,0,0,0,0,0,0,0,9.869208251,9.869208251,0,0,0,0,9.869208251,9.869208251
b0548,0,0,0,0,0,0,0,9.869208251,0,9.869208251,9.869208251,0,0,0,0,1,0
b0549,0,0.584962501,-1,0,-1,0,-1,-1.584962501,0,0,2.502500341,-2,-0.415037499,-0.415037499,0,0.584962501,0.584962501
